update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
318,1628160,572.9511193,2806,1.485127517,0.823748114,0,3.667000055,30.2835,39.68991217,3,100,1.317842299,0.450880621,-0.001774754,0.002292415,0.046151452,0.703998494,0.398523335,0,0.97299999,1.392626347,0.941455104,-0.296750012,0.043179133,12,1.0155,1.058333333,5.870457125,0.239230355,-0.023493916,0.007906144,0.031625885,1.399998514,0.940571617,-0.600000024,2.57400012
319,1633280,572.3218738,2815,1.497024016,0.815713297,0,3.667000055,29.664,39.30337268,3,100,1.309430492,0.456804717,-0.004495012,0.002698616,0.059708151,0.710223994,0.394653284,0,0.97299999,1.407033846,0.932456528,-0.297000012,0.041725292,12,1.015,0.983333333,5.870284748,0.260552675,-0.026468826,0.019749069,0.063729112,1.414324013,0.930713918,-0.600000024,2.240999937
320,1638400,573.2980248,2824,1.516749016,0.80379882,0,3.667000055,28.6885,38.73131121,3,100,1.307304317,0.454388811,0.001367455,0.003966664,0.076659505,0.719953494,0.38892629,0,0.97299999,1.429779346,0.918688258,-0.297250012,0.040217378,12,1.0145,1.058333333,5.869766569,0.264186668,-0.000660022,0.016171032,0.058695463,1.436053513,0.917085424,-0.600000024,1.97300005
321,1643520,572.0723851,2833,1.523139016,0.8018953,0,3.667000055,28.3205,38.55912058,3,100,1.323407459,0.420557398,-0.000564053,0.006149159,0.074071631,0.723465494,0.387377134,0,0.97299999,1.434824597,0.916228476,-0.297750012,0.033465467,12,1.0155,1.058333333,5.870831895,0.244941038,0.05963585,0.181975565,0.118824283,1.441865514,0.914341174,-0.600000024,1.97300005
322,1648640,571.6537869,2842,1.533873016,0.795244537,0,3.667000055,27.8095,38.17859623,3,100,1.295447159,0.456099765,-0.005182919,0.004493418,0.064520803,0.728564494,0.383688181,0,0.97299999,1.445648097,0.909005839,-0.298000012,0.031559468,12,1.016,1.083333333,5.870494556,0.263395727,-0.035193341,0.027575817,0.071407407,1.452814513,0.907324532,-0.600000024,1.97300005
323,1653760,571.7839545,2851,1.536837015,0.790140008,0,3.667000055,27.606,38.02913047,3,100,1.283846384,0.450198549,0.004403703,0.003903014,0.062105555,0.730545994,0.382318355,0,0.97299999,1.451421096,0.905308329,-0.297250012,0.036978879,12,1.0165,1.058333333,5.87165103,0.255355999,0.008591073,0.067880639,0.095761691,1.458096013,0.903426015,-0.600000024,1.97300005
324,1658880,575.2410273,2860,1.553080015,0.781670983,0,3.667000055,26.7675,37.4959657,3,100,1.313283551,0.44131604,0.006671538,0.00385444,0.067163044,0.738942494,0.376898057,0,0.97299999,1.469815096,0.892833296,-0.297750012,0.033465467,12,1.015,1.033333333,5.872770262,0.253697464,-0.000567208,0.021102183,0.053893438,1.476992513,0.890280318,-0.600000024,1.97300005
325,1664000,571.000603,2869,1.533241016,0.793016537,0,2.954999924,27.601,38.14937482,3,100,1.343360698,0.45303482,0.008745218,0.008306621,0.086835379,0.730490994,0.383467451,0,0.97299999,1.450223263,0.907838876,-0.297750012,0.033465467,12,1.0135,0.925,5.873969269,0.226329616,0.022197738,0.041212821,0.116686931,1.456641013,0.905934386,-0.600000024,1.97300005
326,1669120,578.6404801,2878,1.534696516,0.788180145,0,2.954999924,27.475,38.02778425,3,100,1.355263317,0.444023351,0.010756661,0.00395837,0.082487936,0.731824994,0.382193923,0,0.97299999,1.455228513,0.904374118,-0.297750012,0.033465467,12,1.0125,0.775,5.872369647,0.231515712,0.000206732,0.062504335,0.071331386,1.460875013,0.902686815,-0.600000024,1.97300005
327,1674240,575.1843438,2887,1.553264516,0.774059092,0,2.954999924,26.5455,37.43909627,3,100,1.356626999,0.445132954,0.004535367,0.004042535,0.077149806,0.741090494,0.376271415,0,0.97299999,1.47715643,0.889301916,-0.297333345,0.036033935,12,1.0135,0.808333333,5.873049235,0.23398233,0.004154062,0.040960509,0.083973428,1.482540514,0.887391739,-0.600000024,1.97300005
