update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_return_mean,difficulty,distinct goals per episode,goal_count,dis_goals,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm
51,261120,390.9066659,679,0.253909866,0.615391245,0,1.973973036,89.9,26.47878396,3,100,1.418110812,0.077684778,-0.016655379,0.015635028,0.097683205,0.1056,0.271205929,0,0.97299999,0.01134412,9,86.95328142,89.9,78.171,3.303710104,5.834882832,-0.002332621,0.012843796,0.003673697,0.019340673
52,266240,385.9149318,693,0.26050956,0.622859407,0,1.973973036,89.5935,26.90052523,3,100,1.402673709,0.064211437,-0.019820814,0.017029215,0.105662193,0.1087085,0.275328486,0,0.97299999,0.013936548,9,87.00073108,89.5935,77.947,3.317831342,5.714001012,0.085202296,-0.203506768,1.882775094,0.693943367
53,271360,383.8892303,706,0.262350552,0.623913407,0,1.973973036,89.573,26.90320931,3,100,1.326136702,0.094021246,-0.01879379,0.007779101,0.079246293,0.109043,0.275374525,0,0.97299999,0.016816517,9,87.00277986,89.573,77.931,3.348881042,5.827028418,-0.022500416,-0.006090303,0.033042413,0.033706886
54,276480,375.2486333,720,0.264158825,0.624902273,0,1.973973036,89.5545,26.89462827,3,100,1.285734427,0.100633223,-0.016248496,0.016403531,0.118781024,0.1093595,0.275325606,0,0.97299999,0.019429832,9,86.98669525,89.5545,77.9005,3.347136355,5.715820146,0.043757645,-0.144874527,1.127859313,0.518764196
55,281600,383.459687,733,0.270693434,0.631849721,0,1.973973036,89.2555,27.24674696,3,100,1.43803544,0.085699662,-0.005214315,0.010191083,0.091788816,0.1124005,0.278855549,0,0.97299999,0.026157417,9,86.96606932,89.2555,77.622,3.377909432,5.715251517,0.047889779,-0.092261523,1.032382193,0.266152139
56,286720,384.1121162,746,0.282703595,0.64422471,0,1.973973036,88.7135,27.88663511,3,100,1.426185554,0.096023609,-0.007811117,0.008273887,0.081204714,0.1179285,0.285223734,0,0.97299999,0.03475351,9,86.90898229,88.7135,77.1,3.40406559,5.728685308,0.032875567,-0.124267423,0.963922293,0.091019296
57,291840,379.7805133,760,0.289292673,0.650997143,0,1.973973036,88.409,28.25909976,3,100,1.402572125,0.092928142,0.002575056,0.007056427,0.065644395,0.121019,0.28888643,0,0.97299999,0.043998624,9,86.83731294,88.409,76.772,3.466313729,5.703537655,0.049872262,-0.105983053,0.738790482,0.195185687
58,296960,385.7485402,773,0.292110141,0.652846668,0,1.973973036,88.3395,28.28296731,3,100,1.452074116,0.093470633,0.000826121,0.012208667,0.078564932,0.1218445,0.28920614,0,0.97299999,0.048284186,9,86.77941351,88.3395,76.6605,3.480602138,5.646639061,0.113954218,-0.247121107,3.453035238,0.469895309
59,302080,389.6424126,786,0.297093723,0.656213575,0,1.973973036,88.213,28.3596303,3,100,1.423263603,0.09564567,-0.028427468,0.020999668,0.118280407,0.123333,0.290051604,0,0.97299999,0.051214769,9,86.73948284,88.213,76.5155,3.484775412,5.744402409,0.036402615,-0.107891653,0.842105773,0.049955167
60,307200,388.7948609,799,0.303591436,0.662492037,0,1.973973036,87.918,28.68949766,3,100,1.488255239,0.093398419,0.003304566,0.005850344,0.085139018,0.126338,0.293326323,0,0.97299999,0.05939287,9,86.66484679,87.918,76.194,3.504729399,5.671703315,0.097144601,-0.113817391,1.629335253,0.449595618
61,312320,372.1031588,813,0.305942612,0.664229047,0,1.973973036,87.8385,28.72905181,3,100,1.448351204,0.083564041,-3.67E-05,0.007462369,0.073371408,0.1272035,0.293801072,0,0.97299999,0.061309129,9,86.61577782,87.8385,76.082,3.473668793,5.693827343,0.083796908,-0.169798409,2.373194432,0.242044617
62,317440,389.7216591,826,0.30611939,0.664726044,0,1.973973036,87.8185,28.79879438,3,100,1.456632626,0.103432272,-0.001499548,0.008552025,0.08006588,0.1273835,0.294403912,0,0.97299999,0.070196415,9,86.53131174,87.8185,75.9905,3.523124097,5.722484756,0.067429466,-0.0082612,0.314197194,0.112497651
63,322560,389.2042365,840,0.302597695,0.662514461,0,1.973973036,87.9025,28.75197374,3,100,1.450731719,0.097433669,0.008070247,0.005119865,0.057406809,0.1263775,0.293886531,0,0.97299999,0.07405555,9,86.47421859,87.9025,76.013,3.511431364,5.604739642,0.199333793,-0.315853523,4.754212773,0.527390535
64,327680,386.5230992,853,0.303300605,0.662116544,0,1.973973036,87.9465,28.67200094,3,100,1.437942117,0.08921747,-0.002295676,0.008423827,0.084502425,0.1260815,0.293115619,0,0.97299999,0.079084255,9,86.4457369,87.9465,76.026,3.531714032,5.765342498,0.027963579,-0.059045074,0.215556615,0.108994158
65,332800,377.9279539,866,0.301895827,0.660188138,0,1.973973036,88.0405,28.50801396,3,100,1.486302954,0.096854775,0.006960315,0.009554024,0.092187697,0.1251855,0.291591061,0,0.97299999,0.08264733,9,86.35855089,88.0405,76.0305,3.548721286,5.665293384,0.117313789,-0.135685453,0.677769434,0.277025344
66,337920,393.6501877,879,0.297060951,0.655139252,0,1.973973036,88.2715,28.17991816,3,100,1.489488542,0.099934124,0.00760047,0.005307146,0.060157034,0.1228565,0.288465745,0,0.97299999,0.085583007,10,86.28039628,88.2715,76.161,3.551258605,5.680016589,0.097443876,-0.162351473,1.400314149,0.254204824
67,343040,384.5350256,893,0.296806926,0.654431601,0,1.973973036,88.2985,28.06888665,3,100,1.459737879,0.113206553,-0.00271464,0.010009289,0.08664687,0.1226135,0.287517681,0,0.97299999,0.091721554,10,86.17530309,88.2985,76.0915,3.549856208,5.648159075,0.137905998,-0.094924475,1.568546786,0.823246394
68,348160,373.0038105,906,0.294874234,0.652405423,0,1.973973036,88.3905,27.93955994,3,100,1.531308293,0.086281329,0.006244889,0.005238302,0.055723449,0.1216855,0.286281503,0,0.97299999,0.096967189,10,86.07882069,88.3905,76.0855,3.545248667,5.617211986,0.130288817,-0.302553821,3.917646521,0.859775874
