update,frames,FPS,duration,,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
13,66560,179.4023624,382,,0.128180281,0.435607771,0,2.513999939,90.46056338,27.38834942,0,100,1.672865772,0.051156219,-0.020630324,0.021011214,0.124284112,,0.041770422,0.168654874,0,0.963999987,-0.144416913,0.481524415,-0.285211279,0.084709265,5,1.032394366,1.61971831,0,0,0,0,0,-0.135412688,0.504388873,-0.600000024,2.312999964
14,71680,174.3322513,412,,0.134899204,0.443970284,0,2.513999939,90.60477454,27.15131543,0,100,1.615228629,0.064565731,0.000890827,0.011007033,0.072051206,,0.043708222,0.173301348,0,0.97299999,-0.138510621,0.492080833,-0.284084892,0.087773963,5,1.035809019,1.790450928,0,0,0,0,0,-0.129633964,0.514017127,-0.600000024,2.312999964
15,76800,167.9352067,442,,0.134459134,0.44005915,0,2.513999939,91.21754808,26.18016406,0,100,1.561862254,0.061532231,-0.007424609,0.012610441,0.084010496,,0.042623798,0.169840206,0,0.97299999,-0.141622607,0.488157917,-0.284375011,0.086996318,5,1.036057692,1.802884615,5.882239819,-0.096060053,-0.102056712,0.361855328,0.273385277,-0.133457944,0.508921393,-0.600000024,2.312999964
16,81920,178.7151393,471,,0.136921322,0.44730205,0,2.667000055,91.43785633,25.77049534,0,100,1.580563205,0.057013812,-0.00686591,0.011363906,0.079045097,,0.042965792,0.169820921,0,0.97299999,-0.142172759,0.486675887,-0.284036499,0.087902914,5,1.037628278,1.881413911,0,0,0,0,0,-0.132290776,0.512009571,-0.600000024,2.312999964
17,87040,174.7943766,500,,0.151364324,0.471055445,0,2.667000055,91.12432432,25.98346049,0,100,1.563569546,0.056586103,-0.03148473,0.024848253,0.100790843,,0.048745946,0.18065149,0,0.97299999,-0.126352984,0.514914849,-0.283243255,0.092941541,5,1.036756757,1.945945946,5.878445148,-0.073447756,-0.020573381,0.364397168,0.290592026,-0.116767579,0.5375997,-0.600000024,2.312999964
18,92160,167.2096654,531,,0.151494,0.46762285,0,2.667000055,91.531,25.31499633,0,100,1.411980712,0.060142904,-0.017351561,0.013783661,0.100958509,,0.047921,0.178426989,0,0.97299999,-0.127545511,0.512065584,-0.282000011,0.09579144,5,1.04,2.1,0,0,0,0,0,-0.117979012,0.534190761,-0.600000024,2.312999964
19,97280,172.3882458,561,,0.165061845,0.487029733,0,2.667000055,91.19219791,25.75314962,0,100,1.335510969,0.077788368,-0.021300314,0.027601029,0.141375591,,0.053390104,0.190177301,0,0.97299999,-0.112610382,0.536764806,-0.280970516,0.098124225,5,1.041864891,2.188392008,5.873159409,0.091944732,-0.115125693,0.466799408,0.753590108,-0.102746919,0.557214335,-0.600000024,2.312999964
20,102400,186.6812301,588,,0.170315405,0.491391104,0,2.667000055,91.26709207,25.54586813,0,100,1.411251706,0.089062195,6.39E-05,0.011388696,0.110051687,,0.054348222,0.191209823,0,0.97299999,-0.108641609,0.541856792,-0.280249176,0.100211761,5,1.045578851,2.339714373,0,0,0,0,0,-0.098705572,0.562813156,-0.600000024,2.312999964
21,107520,172.5623132,618,,0.174656168,0.497530803,0,2.667000055,91.39982502,25.26964435,0,100,1.36361742,0.091269919,-0.004140393,0.015830003,0.101502054,,0.054566929,0.190885279,0,0.97299999,-0.108816576,0.541433165,-0.280169157,0.100283697,5,1.048993876,2.508019831,0,0,0,0,0,-0.098538944,0.565634237,-0.600000024,2.312999964
22,112640,169.138302,648,,0.17518555,0.495239296,0,2.667000055,91.67241379,24.84533922,0,100,1.289159769,0.078178024,-0.002480391,0.014639716,0.102593848,,0.054012315,0.189841733,0,0.97299999,-0.108916541,0.540098631,-0.278927215,0.102927494,5,1.051724138,2.640941434,5.867339611,-0.14289017,0.021875033,0.383531719,0.884981581,-0.098532852,0.563751703,-0.600000024,2.312999964
